x,y,T
0.0603015,0.00181818,294.346
0.060804,0.00181818,294.332
0.0613065,0.00181818,294.317
0.061809,0.00181818,294.301
0.0623116,0.00181818,294.285
0.0628141,0.00181818,294.269
0.0633166,0.00181818,294.253
0.0638191,0.00181818,294.236
0.0643216,0.00181818,294.218
0.0648241,0.00181818,294.201
0.0653266,0.00181818,294.183
0.0658291,0.00181818,294.164
0.0663317,0.00181818,294.146
0.0668342,0.00181818,294.127
0.0673367,0.00181818,294.109
0.0678392,0.00181818,294.09
0.0683417,0.00181818,294.071
0.0688442,0.00181818,294.051
0.0693467,0.00181818,294.032
0.0698492,0.00181818,294.013
0.0703518,0.00181818,293.994
0.0708543,0.00181818,293.974
0.0713568,0.00181818,293.955
0.0718593,0.00181818,293.936
0.0723618,0.00181818,293.917
0.0728643,0.00181818,293.898
0.0733668,0.00181818,293.879
0.0738693,0.00181818,293.861
0.0743719,0.00181818,293.842
0.0748744,0.00181818,293.824
0.0753769,0.00181818,293.806
0.0758794,0.00181818,293.788
0.0763819,0.00181818,293.771
0.0768844,0.00181818,293.753
0.0773869,0.00181818,293.736
0.0778894,0.00181818,293.72
0.078392,0.00181818,293.703
0.0788945,0.00181818,293.687
0.079397,0.00181818,293.671
0.0798995,0.00181818,293.656
0.080402,0.00181818,293.641
0.0809045,0.00181818,293.626
0.081407,0.00181818,293.612
0.0819095,0.00181818,293.598
0.0824121,0.00181818,293.584
0.0829146,0.00181818,293.571
0.0834171,0.00181818,293.558
0.0839196,0.00181818,293.545
0.0844221,0.00181818,293.533
0.0849246,0.00181818,293.521
0.0854271,0.00181818,293.51
0.0859296,0.00181818,293.499
0.0864322,0.00181818,293.488
0.0869347,0.00181818,293.478
0.0874372,0.00181818,293.468
0.0879397,0.00181818,293.458
0.0884422,0.00181818,293.449
0.0889447,0.00181818,293.441
0.0894472,0.00181818,293.432
0.0899497,0.00181818,293.424
0.0904523,0.00181818,293.417
0.0909548,0.00181818,293.41
0.0914573,0.00181818,293.403
0.0919598,0.00181818,293.397
0.0924623,0.00181818,293.391
0.0929648,0.00181818,293.385
0.0934673,0.00181818,293.38
0.0939698,0.00181818,293.375
0.0944724,0.00181818,293.37
0.0949749,0.00181818,293.366
0.0954774,0.00181818,293.362
0.0959799,0.00181818,293.359
0.0964824,0.00181818,293.356
0.0969849,0.00181818,293.353
0.0974874,0.00181818,293.351
0.0979899,0.00181818,293.349
0.0984925,0.00181818,293.348
0.098995,0.00181818,293.346
0.0994975,0.00181818,293.346
0.1,0.00181818,293.345
0,0.00242424,293.351
0.000502513,0.00242424,293.351
0.00100503,0.00242424,293.352
0.00150754,0.00242424,293.354
0.00201005,0.00242424,293.355
0.00251256,0.00242424,293.357
0.00301508,0.00242424,293.36
0.00351759,0.00242424,293.362
0.0040201,0.00242424,293.366
0.00452261,0.00242424,293.369
0.00502513,0.00242424,293.373
0.00552764,0.00242424,293.377
0.00603015,0.00242424,293.382
0.00653266,0.00242424,293.387
0.00703518,0.00242424,293.393
0.00753769,0.00242424,293.398
0.0080402,0.00242424,293.405
0.00854271,0.00242424,293.411
0.00904523,0.00242424,293.418
0.00954774,0.00242424,293.426
0.0100503,0.00242424,293.433
0.0105528,0.00242424,293.442
0.0110553,0.00242424,293.45
0.0115578,0.00242424,293.459
0.0120603,0.00242424,293.468
0.0125628,0.00242424,293.478
0.0130653,0.00242424,293.488
0.0135678,0.00242424,293.499
0.0140704,0.00242424,293.51
0.0145729,0.00242424,293.521
0.0150754,0.00242424,293.533
0.0155779,0.00242424,293.545
0.0160804,0.00242424,293.558
0.0165829,0.00242424,293.571
0.0170854,0.00242424,293.584
0.0175879,0.00242424,293.598
0.0180905,0.00242424,293.612
0.018593,0.00242424,293.626
0.0190955,0.00242424,293.641
0.019598,0.00242424,293.656
0.0201005,0.00242424,293.672
0.020603,0.00242424,293.688
