x,z,T
0.0115578,0.000204082,293.618
0.0120603,0.000204082,293.636
0.0125628,0.000204082,293.655
0.0130653,0.000204082,293.675
0.0135678,0.000204082,293.697
0.0140704,0.000204082,293.719
0.0145729,0.000204082,293.742
0.0150754,0.000204082,293.767
0.0155779,0.000204082,293.792
0.0160804,0.000204082,293.819
0.0165829,0.000204082,293.848
0.0170854,0.000204082,293.877
0.0175879,0.000204082,293.908
0.0180905,0.000204082,293.941
0.018593,0.000204082,293.975
0.0190955,0.000204082,294.01
0.019598,0.000204082,294.047
0.0201005,0.000204082,294.086
0.020603,0.000204082,294.127
0.0211055,0.000204082,294.169
0.021608,0.000204082,294.213
0.0221106,0.000204082,294.259
0.0226131,0.000204082,294.308
0.0231156,0.000204082,294.358
0.0236181,0.000204082,294.411
0.0241206,0.000204082,294.466
0.0246231,0.000204082,294.523
0.0251256,0.000204082,294.584
0.0256281,0.000204082,294.646
0.0261307,0.000204082,294.712
0.0266332,0.000204082,294.78
0.0271357,0.000204082,294.851
0.0276382,0.000204082,294.925
0.0281407,0.000204082,295.003
0.0286432,0.000204082,295.083
0.0291457,0.000204082,295.167
0.0296482,0.000204082,295.254
0.0301508,0.000204082,295.343
0.0306533,0.000204082,295.436
0.0311558,0.000204082,295.532
0.0316583,0.000204082,295.629
0.0321608,0.000204082,295.728
0.0326633,0.000204082,295.829
0.0331658,0.000204082,295.929
0.0336683,0.000204082,296.028
0.0341709,0.000204082,296.126
0.0346734,0.000204082,296.222
0.0351759,0.000204082,296.315
0.0356784,0.000204082,296.405
0.0361809,0.000204082,296.491
0.0366834,0.000204082,296.573
0.0371859,0.000204082,296.652
0.0376884,0.000204082,296.727
0.038191,0.000204082,296.798
0.0386935,0.000204082,296.865
0.039196,0.000204082,296.928
0.0396985,0.000204082,296.988
0.040201,0.000204082,297.044
0.0407035,0.000204082,297.097
0.041206,0.000204082,297.147
0.0417085,0.000204082,297.193
0.0422111,0.000204082,297.236
0.0427136,0.000204082,297.276
0.0432161,0.000204082,297.312
0.0437186,0.000204082,297.346
0.0442211,0.000204082,297.377
0.0447236,0.000204082,297.405
0.0452261,0.000204082,297.43
0.0457286,0.000204082,297.452
0.0462312,0.000204082,297.472
0.0467337,0.000204082,297.489
0.0472362,0.000204082,297.503
0.0477387,0.000204082,297.515
0.0482412,0.000204082,297.524
0.0487437,0.000204082,297.531
0.0492462,0.000204082,297.534
0.0497487,0.000204082,297.536
0.0502513,0.000204082,297.535
0.0507538,0.000204082,297.531
0.0512563,0.000204082,297.524
0.0517588,0.000204082,297.515
0.0522613,0.000204082,297.504
0.0527638,0.000204082,297.49
0.0532663,0.000204082,297.473
0.0537688,0.000204082,297.453
0.0542714,0.000204082,297.431
0.0547739,0.000204082,297.406
0.0552764,0.000204082,297.378
