y,z,T
0.00969697,0.000204082,294.913
0.010303,0.000204082,294.973
0.0109091,0.000204082,295.037
0.0115152,0.000204082,295.106
0.0121212,0.000204082,295.179
0.0127273,0.000204082,295.257
0.0133333,0.000204082,295.339
0.0139394,0.000204082,295.426
0.0145455,0.000204082,295.517
0.0151515,0.000204082,295.614
0.0157576,0.000204082,295.715
0.0163636,0.000204082,295.82
0.0169697,0.000204082,295.93
0.0175758,0.000204082,296.043
0.0181818,0.000204082,296.16
0.0187879,0.000204082,296.278
0.0193939,0.000204082,296.398
0.02,0.000204082,296.517
0.0206061,0.000204082,296.633
0.0212121,0.000204082,296.745
0.0218182,0.000204082,296.852
0.0224242,0.000204082,296.952
0.0230303,0.000204082,297.045
0.0236364,0.000204082,297.131
0.0242424,0.000204082,297.208
0.0248485,0.000204082,297.278
0.0254545,0.000204082,297.339
0.0260606,0.000204082,297.393
0.0266667,0.000204082,297.438
0.0272727,0.000204082,297.474
0.0278788,0.000204082,297.503
0.0284848,0.000204082,297.523
0.0290909,0.000204082,297.535
0.029697,0.000204082,297.539
0.030303,0.000204082,297.535
0.0309091,0.000204082,297.522
0.0315152,0.000204082,297.501
0.0321212,0.000204082,297.472
0.0327273,0.000204082,297.435
0.0333333,0.000204082,297.39
0.0339394,0.000204082,297.336
0.0345455,0.000204082,297.274
0.0351515,0.000204082,297.204
0.0357576,0.000204082,297.126
0.0363636,0.000204082,297.04
0.0369697,0.000204082,296.946
0.0375758,0.000204082,296.845
0.0381818,0.000204082,296.738
0.0387879,0.000204082,296.625
0.0393939,0.000204082,296.509
0.04,0.000204082,296.389
0.0406061,0.000204082,296.269
0.0412121,0.000204082,296.15
0.0418182,0.000204082,296.032
0.0424242,0.000204082,295.918
0.0430303,0.000204082,295.808
0.0436364,0.000204082,295.701
0.0442424,0.000204082,295.599
0.0448485,0.000204082,295.502
0.0454545,0.000204082,295.41
0.0460606,0.000204082,295.322
0.0466667,0.000204082,295.238
0.0472727,0.000204082,295.159
0.0478788,0.000204082,295.085
0.0484848,0.000204082,295.015
0.0490909,0.000204082,294.949
0.049697,0.000204082,294.888
0.050303,0.000204082,294.83
0.0509091,0.000204082,294.776
0.0515152,0.000204082,294.727
0.0521212,0.000204082,294.681
0.0527273,0.000204082,294.638
0.0533333,0.000204082,294.6
0.0539394,0.000204082,294.565
0.0545455,0.000204082,294.533
0.0551515,0.000204082,294.505
0.0557576,0.000204082,294.48
